genus.proper,family,extant,valid,inPBDB,INTEGRAT,GROWTH,MORPH,soli.diam,ECOLOGY,alt.symb,symbio,Reference,Evidence,Confidence
Truncatoflabellum,Flabellidae,1,1,1,0,solitary,flabellate,small,az,,NA,NA,NA,NA
Truncoconus,Dermosmiliidae,0,1,1,0,solitary,tympanoid,,az,,NA,NA,NA,NA
Tubastraea,Dendrophylliidae,1,1,1,1,colonial,phaceloid,,az,,NA,NA,NA,NA
Tubicora,Dermosmillidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Turbinaria,Dendrophylliidae,1,1,1,2,colonial,lamellar,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Turbinolia,Turbinoliidae,1,1,1,0,solitary,turbinate,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Turnsekophyllia,Acrosmiliidae,0,1,1,1,colonial,reptoid,,z,,NA,NA,NA,NA
Valliculastraea,Latomeandridae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Vallimeandra,Latomeandridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Vallimeandropsis,Andemantastraeidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Variabilifavia,Faviidae,0,1,1,4,colonial,lamellar,,z,,?,"{Perrin, 2012 #14453}",,NA
Vaughanella,Caryophylliidae,1,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Vaughanoseris,Agariciidae,0,1,1,0,solitary,patellate,,z,,NA,NA,NA,NA
Vielicyathus,Caryophylliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Volzeia,Volzeiidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Wadeopsammia,Dendrophylliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Wellsimeandra,Trochoidomeandridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Wellsotrochus,Turbinoliidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Zardinophyllum,Zardinophyllidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Zoopilus,Fungiidae,1,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Dipsastraea,Merulinidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Astrea,Merulinidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudodiploria,Mussidae,1,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Coelastrea,Merulinidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Bathelia,Oculinidae,1,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
Monomyces,Flabellidae,1,1,1,0,solitary,flabellate,medium,az,,NA,NA,NA,NA
Placocyathus,Caryophylliidae,0,1,1,3,colonial,flabellate,,z,,NA,"{Budd, 1994 #4857}",NA,
Lepidophyllia,Stylophyllidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
